URL,campaign,ad_format,clicks,spend,creative_size,date,impressions,reach,audience,platform,creative_family,creative_version,full_video_views,video_starts,follows,days_from_max,latest_report,CTR,CTR_score,weighted_CTR_score,n
NA,NB_Wholesale_Exact,CPC,0,0,wholesale lending,2022-06-29,1,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,124,0,0,NA,NA,2
NA,NB_Wholesale_Phrase,CPC,0,0,mortgage loan broker license,2022-10-28,1,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,3,1,0,NA,NA,2
NA,NB_Wholesale_Phrase,CPC,0,0,wholesale lending services,2022-08-23,1,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,69,0,0,NA,NA,2
NA,NB_Wholesale_Phrase,CPC,0,0,wholesale mortgage lenders,2022-08-08,1,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,84,0,0,NA,NA,2
NA,NB_Wholesale_Phrase,CPC,0,0,mortgage loan broker license,2022-09-14,1,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,47,0,0,NA,NA,2
NA,NB_Wholesale_Phrase,CPC,0,0,wholesale lenders,2022-06-08,1,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,145,0,0,NA,NA,2
NA,NB_Wholesale_Exact,CPC,0,0,wholesale mortgage company,2022-08-18,2,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,74,0,0,NA,NA,2
NA,NB_Wholesale_Phrase,CPC,0,0,wholesale mortgage lenders,2022-07-11,3,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,112,0,0,NA,NA,2
NA,NB_Wholesale_Phrase,CPC,0,0,prime mortgage,2022-08-04,1,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,88,0,0,NA,NA,2
NA,NB_Wholesale_Exact,CPC,0,0,best mortgage lenders to work for,2022-05-04,1,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,180,0,0,NA,NA,2
NA,NB_Wholesale_Phrase,CPC,0,0,wholesale lenders,2022-06-18,1,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,135,0,0,NA,NA,2
NA,NB_Wholesale_Exact,CPC,0,0,mortgage wholesale,2022-08-03,1,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,89,0,0,NA,NA,2
NA,NB_Wholesale_Exact,CPC,0,0,mortgage loan broker license,2022-07-12,2,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,111,0,0,NA,NA,2
