,date,audience,clicks,spend,impressions,reach,total_sessions,completions_F_T,Audience_1,Audience_2,Audience_3,Audience_4,Audience_5,Audience_6,Close_Faster,Closer_Twins,Competitive_Opportunity,SEM_Ads,Unfair_Advantage,Domain_Dsiplay,Facebook,Google_SEM,Linkedin,OTT,User_ID_Display
8812,15/10/2022,5,3,17.15418764,121,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
8813,15/10/2022,5,1,16.11148154,106,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
8814,15/10/2022,5,3,0,2756,175,5,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
8815,15/10/2022,5,9,0,5768,207,12,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
8816,15/10/2022,5,6,81.18,973,0,5,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
8817,15/10/2022,5,6,0,7561,256,10,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
8818,15/10/2022,5,6,0,2658,256,5,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
8819,15/10/2022,5,2,18.09557087,129,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
8820,15/10/2022,5,13,0,6467,239,9,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
8821,15/10/2022,6,15,25.42,161,0,24,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
8822,15/10/2022,6,2,6.98,17,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
8823,16/10/2022,1,6,34.366218,6561,3287,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
8824,16/10/2022,1,11,35.109666,6714,3251,12,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
8825,16/10/2022,1,17,35.075879,6683,3391,16,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
8826,16/10/2022,1,1,0,123,3,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
8827,16/10/2022,1,0,0,998,42,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
8828,16/10/2022,1,1,4.60361761,16,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
8829,16/10/2022,2,0,7.021693,1361,649,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
8830,16/10/2022,2,4,7.073055,1357,636,6,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
8831,16/10/2022,2,3,7.416572,1419,656,6,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
8832,16/10/2022,3,4,34.220631,6640,3127,5,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
