...1,date,audience,creative_family,creative_version,platform,ad_format,campaign_traffic,total_sessions,total_bounces,total_duration,days_away,latest_report
8747,2022-07-16,2,CloserTwins,Cutdown1A,Domain Display,Video,Campaign,1,0,0,107,0
8748,2022-06-25,4,CloseFaster,MoreAll,Domain Display,NA,Campaign,2,0,0,128,0
8749,2022-08-26,1,CloseFaster,MoreAll,User ID Display,NA,Campaign,2,0,0,66,0
8750,2022-08-31,1,CloseFaster,MoreAll,User ID Display,NA,Campaign,6,0,0,61,0
8751,2022-06-21,5,CloserTwins,Faceoff,Domain Display,NA,Campaign,6,0,0,132,0
8752,2022-07-30,3,UnfairAdvantage,1099,Domain Display,Single image,Campaign,1,0,0,93,0
8753,2022-06-01,4,CloserTwins,Faceoff,Domain Display,NA,Campaign,2,0,0,152,0
8754,2022-10-05,4,CloserTwins,MoreLoansAll,User ID Display,NA,Campaign,21,0,56.9999999999999,26,0
8755,2022-05-25,4,UnfairAdvantage,Animated,Domain Display,Animated,Campaign,1,0,0,159,0
8756,2022-06-27,4,UnfairAdvantage,NoDTI,User ID Display,Single image,Campaign,6,0,0,126,0
8757,2022-05-14,5,CloseFaster,3steps,LinkedIn,Single image,Campaign,3,0,318,170,0
8758,2022-06-16,1,CloserTwins,Paperwork,Facebook,Video,Campaign,1,0,85,137,0
8759,2022-05-09,4,CloserTwins,MoreLoans,LinkedIn,Video,Campaign,1,0,0,175,0
8760,2022-08-17,2,CloseFaster,MoreAll,User ID Display,NA,Campaign,1,0,0,75,0
8761,2022-08-29,1,CloseFaster,FasterAll,User ID Display,NA,Campaign,1,0,0,63,0
8762,2022-05-18,4,UnfairAdvantage,one_page,Domain Display,NA,Campaign,3,0,0,166,0
8763,2022-06-10,2,CloserTwins,Cutdown1A,Facebook,Video,Campaign,1,0,0,143,0
8764,2022-08-11,1,UnfairAdvantage,1099,User ID Display,Single image,Campaign,5,0,0,81,0
8765,2022-09-30,1,UnfairAdvantage,1099,User ID Display,Single image,Campaign,8,0,0,31,0
8766,2022-05-27,2,CloseFaster,3steps,LinkedIn,Single image,Campaign,1,0,0,157,0
8767,2022-10-15,4,UnfairAdvantage,one_page,User ID Display,NA,Campaign,24,0,0,16,0
8768,2022-09-07,6,SEM Ads,We Are America's CDFI,Google SEM,CPC,Campaign,10,0,259,54,0
8769,2022-05-15,3,CloserTwins,Cutdown1A,Domain Display,Video,Campaign,1,0,0,169,0
8770,2022-10-25,4,UnfairAdvantage,1099,User ID Display,NA,Campaign,26,0,109.999999999999,6,1
8772,2022-05-18,3,CloserTwins,Faceoff,Domain Display,NA,Campaign,1,0,0,166,0
8773,2022-06-24,4,CloseFaster,MoreAll,User ID Display,NA,Campaign,7,0,0,129,0
8774,2022-05-21,1,CloseFaster,NoDTI,Facebook,Single image,Campaign,1,0,0,163,0
8775,2022-08-01,4,UnfairAdvantage,NoDTI,Domain Display,Single image,Campaign,6,0,0,91,0
8776,2022-08-20,3,CloserTwins,Cutdown1B,Domain Display,Video,Campaign,1,0,0,72,0
8777,2022-06-28,5,UnfairAdvantage,one_page,LinkedIn,Single image,Campaign,2,0,0,125,0
8778,2022-10-19,4,UnfairAdvantage,Animated,Domain Display,Animated,Campaign,1,0,0,12,1
8779,2022-07-13,3,CloserTwins,Faceoff,Domain Display,NA,Campaign,2,0,1007,110,0
8780,2022-05-02,5,CloserTwins,Cutdown1B,LinkedIn,Video,Campaign,1,0,205,182,0
8781,2022-10-24,4,UnfairAdvantage,All,LinkedIn,Carousel,Campaign,109,0,7799.99999999999,7,1
8782,2022-07-15,5,UnfairAdvantage,NoDTI,LinkedIn,Single image,Campaign,3,0,0,108,0
8783,2022-05-06,1,CloseFaster,FasterAll,Domain Display,NA,Campaign,1,0,0,178,0
8784,2022-06-11,4,UnfairAdvantage,one_page,LinkedIn,Single image,Campaign,2,0,0,142,0
8785,2022-10-14,4,UnfairAdvantage,one_page,LinkedIn,Single image,Campaign,2,0,2,17,0
8786,2022-05-14,6,Trade Media Ads,ROS1,Trade Media,Housingwire,Campaign,6,0,61.9999999999998,170,0
8787,2022-08-15,2,CloserTwins,Cutdown1A,Domain Display,Video,Campaign,2,0,0,77,0
8788,2022-04-29,4,CloserTwins,MoreLoansAll,Domain Display,NA,Campaign,2,0,0,185,0
8789,2022-07-16,5,UnfairAdvantage,1099,Domain Display,Single image,Campaign,8,0,0,107,0
8790,2022-09-06,1,CloserTwins,MoreLoansAll,User ID Display,NA,Campaign,3,0,0,55,0
8791,2022-05-27,5,UnfairAdvantage,NoDTI,Domain Display,Single image,Campaign,2,0,0,157,0
8792,2022-07-30,3,UnfairAdvantage,one_page,User ID Display,NA,Campaign,3,0,0,93,0
8793,2022-08-17,4,CloseFaster,MoreAll,Domain Display,NA,Campaign,3,0,0,75,0
8794,2022-09-17,5,UnfairAdvantage,Animated,Domain Display,Animated,Campaign,7,0,0,44,0
