...1,date,campaign,audience,creative_family,creative_version,platform,ad_format,goal,completions,campaign_traffic,days_away,latest_report
2183,2022-05-06,(not set),NA,NA,NA,NA,NA,Learn More (Community Mortgage),7,General traffic,178,0
2184,2022-05-06,(not set),NA,NA,NA,NA,NA,Start Closing More,1,General traffic,178,0
2185,2022-05-07,(not set),NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic,177,0
2186,2022-05-07,(not set),NA,NA,NA,NA,NA,Learn More (Our Story),1,General traffic,177,0
2187,2022-05-08,(not set),NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic,176,0
2188,2022-05-09,(not set),NA,NA,NA,NA,NA,Learn More (Closer Twins Banner),1,General traffic,175,0
2189,2022-05-09,(not set),NA,NA,NA,NA,NA,Learn More (Community Mortgage),11,General traffic,175,0
2190,2022-05-09,(not set),NA,NA,NA,NA,NA,Learn More (Our Story),1,General traffic,175,0
2191,2022-05-09,(not set),NA,NA,NA,NA,NA,Start Closing More,2,General traffic,175,0
2192,2022-05-10,(not set),NA,NA,NA,NA,NA,Get Approved,1,General traffic,174,0
2193,2022-05-10,(not set),NA,NA,NA,NA,NA,Learn More (Closer Twins Banner),2,General traffic,174,0
2194,2022-05-10,(not set),NA,NA,NA,NA,NA,Learn More (Community Mortgage),8,General traffic,174,0
2195,2022-05-10,(not set),NA,NA,NA,NA,NA,Learn More (Our Story),2,General traffic,174,0
2196,2022-05-10,(not set),NA,NA,NA,NA,NA,Start Closing More,1,General traffic,174,0
2197,2022-05-11,(not set),NA,NA,NA,NA,NA,Get Approved,1,General traffic,173,0
2198,2022-05-11,(not set),NA,NA,NA,NA,NA,Learn More (Closer Twins Banner),1,General traffic,173,0
2199,2022-05-11,(not set),NA,NA,NA,NA,NA,Learn More (Community Mortgage),10,General traffic,173,0
2200,2022-05-12,(not set),NA,NA,NA,NA,NA,Get Approved,1,General traffic,172,0
2201,2022-05-12,(not set),NA,NA,NA,NA,NA,Learn More (Community Mortgage),3,General traffic,172,0
2202,2022-05-12,(not set),NA,NA,NA,NA,NA,Start Closing More,2,General traffic,172,0
2203,2022-05-13,(not set),NA,NA,NA,NA,NA,Get Approved,1,General traffic,171,0
2204,2022-05-13,(not set),NA,NA,NA,NA,NA,Learn More (Closer Twins Banner),2,General traffic,171,0
2205,2022-05-13,(not set),NA,NA,NA,NA,NA,Learn More (Community Mortgage),16,General traffic,171,0
2206,2022-05-13,(not set),NA,NA,NA,NA,NA,Start Closing More,1,General traffic,171,0
2207,2022-05-14,(not set),NA,NA,NA,NA,NA,Get Approved,1,General traffic,170,0
2208,2022-05-14,(not set),NA,NA,NA,NA,NA,Learn More (Closer Twins Banner),1,General traffic,170,0
2209,2022-05-14,(not set),NA,NA,NA,NA,NA,Learn More (Community Mortgage),2,General traffic,170,0
2210,2022-05-16,(not set),NA,NA,NA,NA,NA,Get Approved,1,General traffic,168,0
2211,2022-05-16,(not set),NA,NA,NA,NA,NA,Learn More (Closer Twins Banner),1,General traffic,168,0
2212,2022-05-16,(not set),NA,NA,NA,NA,NA,Learn More (Community Mortgage),12,General traffic,168,0
2213,2022-05-16,(not set),NA,NA,NA,NA,NA,Learn More (Our Story),1,General traffic,168,0
