,city_name,latitude,longitude,city_population,city_state_code,state_name
392,Springfield,39.80172,-89.64371,116565,IL,Illinois
652,Springfield,37.21533,-93.29824,166810,MO,Missouri
797,Springfield,39.92423,-83.80882,59680,OH,Ohio
844,Springfield,39.93067,-75.32019,23363,PA,Pennsylvania
925,Springfield,36.50921,-86.885,16808,TN,Tennessee
1163,Springfield,38.78928,-77.1872,30484,VA,Virginia
1599,Springfield,42.10148,-72.58981,154341,MA,Massachusetts
3005,Springfield,44.04624,-123.02203,60870,OR,Oregon
2105,Springfield Gardens,40.66312,-73.76221,30515,NY,New York
3054,Springville,40.16523,-111.61075,32286,UT,Utah
1437,St. Charles,41.91419,-88.30869,32974,IL,Illinois
3195,St. Charles,38.60728,-76.92478,33379,MD,Maryland
3266,St. Johns,30.0815,-81.54774,40000,FL,Florida
647,St. Louis,38.62727,-90.19789,315685,MO,Missouri
357,St. Marys,30.73051,-81.54649,17968,GA,Georgia
251,St. Petersburg,27.77086,-82.67927,257083,FL,Florida
1075,Stafford,29.61607,-95.55772,18459,TX,Texas
742,Stallings,35.0907,-80.68618,15270,NC,North Carolina
1238,Stamford,41.05343,-73.53873,128874,CT,Connecticut
2769,Stanton,33.80252,-117.99312,38872,CA,California
683,Starkville,33.45049,-88.81961,25366,MS,Mississippi
2266,State College,40.79339,-77.86,42161,PA,Pennsylvania
2107,Staten Island,40.56233,-74.13986,468730,NY,New York
362,Statesboro,32.44879,-81.78317,30721,GA,Georgia
743,Statesville,35.78264,-80.8873,26221,NC,North Carolina
1164,Staunton,38.14991,-79.0732,24416,VA,Virginia
1076,Stephenville,32.2207,-98.20226,20120,TX,Texas
1165,Sterling,39.00622,-77.4286,27822,VA,Virginia
1446,Sterling,41.78864,-89.69622,15057,IL,Illinois
1695,Sterling Heights,42.58031,-83.0302,132052,MI,Michigan
2212,Steubenville,40.36979,-80.63396,18219,OH,Ohio
2347,Stevens Point,44.52358,-89.57456,26604,WI,Wisconsin
3173,Stevenson Ranch,34.39048,-118.57372,17557,CA,California
834,Stillwater,36.11561,-97.05837,48967,OK,Oklahoma
1774,Stillwater,45.05636,-92.80604,18924,MN,Minnesota
363,Stockbridge,33.54428,-84.23381,28202,GA,Georgia
2770,Stockton,37.9577,-121.29078,305658,CA,California
3267,Stonecrest,33.70849,-84.13485,50000,GA,Georgia
1600,Stoneham,42.4801,-71.0995,21437,MA,Massachusetts
1239,Storrs,41.80843,-72.24952,15344,CT,Connecticut
1601,Stoughton,42.1251,-71.10227,26915,MA,Massachusetts
2213,Stow,41.1595,-81.44039,34797,OH,Ohio
1240,Stratford,41.18454,-73.13317,51384,CT,Connecticut
1447,Streamwood,42.02558,-88.17841,40554,IL,Illinois
2214,Streetsboro,41.23922,-81.34594,16312,OH,Ohio
2215,Strongsville,41.3145,-81.83569,44668,OH,Ohio
262,Stuart,27.19755,-80.25283,16462,FL,Florida
2771,Studio City,34.14862,-118.39647,34034,CA,California
1602,Sudbury,42.38343,-71.41617,17343,MA,Massachusetts
1166,Sudley,38.79289,-77.49749,16203,VA,Virginia
